0,0,0.0247357209354913,0.0238110210874355
0.1,3.1358538980296,3.12488043575386,3.7558375933599
0.2,6.23735072453278,6.18482428049739,8.50453889432356
0.3,9.27050983124842,9.29999083559941,12.3560311957355
0.4,12.202099292274,12.2760906076546,15.4452223107819
0.5,15,15.0480141470276,18.0609853492431
0.6,17.6335575687742,17.6842391119416,20.4908799219361
0.7,20.0739181907657,20.0492537175165,22.6301131100185
0.8,22.2943447643218,22.3224770001289,24.713673387787
0.9,24.2705098312484,24.2871790363386,26.4704964640933
1,25.9807621135332,25.9815601853303,27.9132199572852
1.1,27.406363729278,27.4393775504915,29.1134815366418
1.2,28.5316954888546,28.4860973013088,29.8505550865496
1.3,29.3444280220142,29.3380376814179,30.4061056440913
1.4,29.8356568610482,29.7828411183192,30.5357428086018
1.5,30,30.0880153319425,30.5684037311834
1.6,29.8356568610482,29.8921401182902,30.0501515445933
1.7,29.3444280220142,29.3608476084721,29.1505159070244
1.8,28.5316954888546,28.4599111494963,27.8784147099944
1.9,27.406363729278,27.355012128004,26.4618117515381
2,25.9807621135332,25.9862550255987,24.8286566541352
2.1,24.2705098312484,24.203864103995,22.7372349559524
2.2,22.2943447643218,22.301733655306,20.5666801022814
2.3,20.0739181907657,20.1119988058742,18.1358894917579
2.4,17.6335575687742,17.65054445089,15.4189645531016
2.5,15,14.937734846703,12.4466108521027
2.6,12.202099292274,12.2497634501979,9.60137183225467
2.7,9.27050983124843,9.24778585150834,6.43757166287514
2.8,6.23735072453278,6.21458690374468,3.26084630017472
2.9,3.13585389802959,3.11322115033531,0.0664672474820969
3,3.67394039744206e-15,0.00771341545422629,-3.0867021274962
3.1,-3.1358538980296,-3.1280434886264,-6.24783946800371
3.2,-6.23735072453277,-6.31579050993143,-9.46731984646367
3.3,-9.27050983124842,-9.28709709412986,-12.3865646638566
3.4,-12.202099292274,-12.1421469516523,-15.1217732176526
3.5,-15,-14.9751004685399,-17.8581792304582
3.6,-17.6335575687742,-17.6252462168603,-20.3986485669074
3.7,-20.0739181907657,-20.0360644090343,-22.6379087167595
3.8,-22.2943447643218,-22.2968977052525,-24.7114503462691
3.9,-24.2705098312484,-24.3199927919566,-26.5331424941785
4,-25.9807621135332,-26.0538262792961,-28.0250862382823
4.1,-27.406363729278,-27.4400251709731,-29.1157600558806
4.2,-28.5316954888546,-28.5419293293701,-29.9070341614771
4.3,-29.3444280220142,-29.3384717752171,-30.3968575080747
4.4,-29.8356568610482,-29.7930215469845,-30.533046819469
4.5,-30,-29.9525823801628,-30.3762154095415
4.6,-29.8356568610482,-29.8583168007311,-29.9921200267288
4.7,-29.3444280220142,-29.4247491444299,-29.2623690096017
4.8,-28.5316954888546,-28.5095852669436,-27.9758814488799
4.9,-27.406363729278,-27.4681272519315,-26.617066889349
5,-25.9807621135332,-25.9770643090121,-24.8057227134008
5.1,-24.2705098312484,-24.2521257046404,-22.7674467947092
5.2,-22.2943447643218,-22.2470032284952,-20.4764424727006
5.3,-20.0739181907657,-20.0110614658435,-17.9802706108042
5.4,-17.6335575687742,-17.641925687836,-15.4062133890256
5.5,-15,-14.9627307473534,-12.5075229963069
5.6,-12.202099292274,-12.2608532293231,-9.63741304342998
5.7,-9.2705098312484,-9.27005370771185,-6.47086753768067
5.8,-6.23735072453274,-6.21796601228846,-3.26208260625829
5.9,-3.1358538980296,-3.157646091754,-0.118761178960616
